,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,VCH,VCD,VCA
0,E0,2007-08-11,Aston Villa,Liverpool,1,2,A,0,1,A,M Riley,10,17,6,7,18,11,4,2,4,2,0,0,4.0,3.25,1.9,3.5,3.2,2.0
1,E0,2007-08-11,Bolton,Newcastle,1,3,A,0,3,A,C Foy,13,7,9,5,15,16,4,3,1,1,0,0,2.5,3.2,2.75,2.3,3.25,2.9
2,E0,2007-08-11,Derby,Portsmouth,2,2,D,1,1,D,M Dean,12,12,5,6,14,17,6,6,1,2,0,0,2.8,3.25,2.4,2.7,3.25,2.4
3,E0,2007-08-11,Everton,Wigan,2,1,H,1,0,H,M Clattenburg,12,14,8,4,8,13,6,2,0,0,0,0,1.66,3.4,5.5,1.7,3.4,5.0
4,E0,2007-08-11,Middlesbrough,Blackburn,1,2,A,1,0,H,A Marriner,10,4,6,4,16,16,13,3,3,4,0,0,2.37,3.25,2.87,2.5,3.25,2.65
5,E0,2007-08-11,Sunderland,Tottenham,1,0,H,0,0,D,A Wiley,9,6,4,3,14,14,7,2,1,1,0,0,3.4,3.25,2.1,3.0,3.2,2.25
6,E0,2007-08-11,West Ham,Man City,0,2,A,0,1,A,P Walton,9,14,2,5,13,11,5,3,0,4,0,0,2.0,3.2,3.75,2.0,3.25,3.6
7,E0,2007-08-12,Arsenal,Fulham,2,1,H,0,1,A,P Dowd,19,12,13,9,6,19,14,4,1,5,0,0,1.33,4.5,10.0,1.3,4.5,9.5
8,E0,2007-08-12,Chelsea,Birmingham,3,2,H,2,2,D,S Bennett,19,6,11,4,8,8,5,3,2,1,0,0,1.2,6.0,13.0,1.15,6.0,17.0
9,E0,2007-08-12,Man United,Reading,0,0,D,0,0,D,R Styles,22,3,9,2,8,16,12,3,0,2,0,1,1.22,5.5,13.0,1.22,5.5,12.0
10,E0,2007-08-14,Tottenham,Everton,1,3,A,1,3,A,M Halsey,14,16,8,10,16,9,9,4,2,0,0,0,1.8,3.4,4.33,1.73,3.4,4.5
11,E0,2007-08-15,Birmingham,Sunderland,2,2,D,1,0,H,K Stroud,7,7,3,3,17,10,2,7,1,1,0,0,2.3,3.25,3.0,2.25,3.25,3.0
12,E0,2007-08-15,Fulham,Bolton,2,1,H,2,1,H,L Probert,8,14,6,7,19,13,9,8,2,1,0,0,2.2,3.25,3.2,2.25,3.25,3.0
13,E0,2007-08-15,Man City,Derby,1,0,H,1,0,H,L Mason,9,5,6,3,12,13,4,4,3,1,0,0,1.61,3.6,5.5,1.55,3.6,6.0
14,E0,2007-08-15,Portsmouth,Man United,1,1,D,0,1,A,S Bennett,7,20,6,12,13,5,6,12,2,1,1,1,5.5,3.6,1.61,5.5,3.5,1.6
15,E0,2007-08-15,Reading,Chelsea,1,2,A,1,0,H,M Dean,15,15,11,7,15,16,4,11,4,5,1,0,6.5,3.75,1.53,6.5,3.6,1.53
16,E0,2007-08-15,Wigan,Middlesbrough,1,0,H,0,0,D,S Tanner,14,5,5,1,8,20,5,3,1,3,0,0,2.3,3.25,3.0,2.35,3.2,2.9
17,E0,2007-08-18,Birmingham,West Ham,0,1,A,0,0,D,M Halsey,6,13,3,5,16,15,9,5,4,2,0,0,2.37,3.25,2.87,2.3,3.25,2.9
18,E0,2007-08-18,Fulham,Middlesbrough,1,2,A,1,0,H,L Mason,13,9,6,6,9,12,8,7,1,3,0,0,2.1,3.25,3.4,2.1,3.2,3.4
19,E0,2007-08-18,Newcastle,Aston Villa,0,0,D,0,0,D,H Webb,6,11,2,5,16,12,8,6,0,2,0,0,1.83,3.3,4.33,1.85,3.25,4.35
20,E0,2007-08-18,Portsmouth,Bolton,3,1,H,2,1,H,S Tanner,11,8,6,3,13,11,10,6,0,2,0,0,1.83,3.3,4.33,1.8,3.3,4.35
21,E0,2007-08-18,Reading,Everton,1,0,H,1,0,H,S Bennett,10,13,5,5,14,8,4,12,2,2,0,0,2.5,3.25,2.7,2.4,3.25,2.8
22,E0,2007-08-18,Tottenham,Derby,4,0,H,3,0,H,C Foy,25,4,14,2,8,14,9,3,0,4,0,0,1.44,4.0,7.5,1.4,4.0,8.5
23,E0,2007-08-18,Wigan,Sunderland,3,0,H,1,0,H,M Riley,9,9,4,6,8,17,5,9,0,2,0,0,2.2,3.25,3.2,2.35,3.2,2.9
24,E0,2007-08-19,Blackburn,Arsenal,1,1,D,0,1,A,A Wiley,9,10,4,3,19,15,5,4,4,4,1,0,3.1,3.2,2.25,3.1,3.25,2.2
25,E0,2007-08-19,Liverpool,Chelsea,1,1,D,1,0,H,R Styles,18,6,8,2,11,16,5,2,4,5,0,0,2.62,3.1,3.1,2.4,3.1,2.9
26,E0,2007-08-19,Man City,Man United,1,0,H,1,0,H,M Clattenburg,6,15,2,6,8,11,0,11,2,2,0,0,4.5,3.25,1.83,4.35,3.2,1.85
27,E0,2007-08-25,Arsenal,Man City,1,0,H,0,0,D,C Foy,16,8,10,4,8,9,8,2,0,1,0,0,1.53,3.8,6.0,1.65,3.3,5.5
28,E0,2007-08-25,Aston Villa,Fulham,2,1,H,0,1,A,S Bennett,23,10,4,5,11,13,12,3,1,2,0,1,1.8,3.4,4.5,1.75,3.2,5.0
29,E0,2007-08-25,Bolton,Reading,3,0,H,1,0,H,M Clattenburg,18,5,12,2,10,7,10,7,2,1,0,0,2.25,3.2,3.0,2.1,3.25,3.3
30,E0,2007-08-25,Chelsea,Portsmouth,1,0,H,1,0,H,A Wiley,18,18,7,4,16,12,4,6,0,2,0,0,1.28,5.0,10.0,1.28,5.0,9.5
31,E0,2007-08-25,Derby,Birmingham,1,2,A,0,1,A,L Probert,16,11,8,6,8,13,4,4,0,1,0,0,2.37,3.25,2.87,2.35,3.2,2.9
32,E0,2007-08-25,Everton,Blackburn,1,1,D,0,1,A,M Riley,12,11,8,7,20,18,5,7,0,2,0,0,2.1,3.2,3.5,2.0,3.2,3.8
33,E0,2007-08-25,Sunderland,Liverpool,0,2,A,0,1,A,M Halsey,7,17,2,12,12,12,6,4,1,1,0,0,6.0,3.6,1.57,6.5,3.2,1.6
34,E0,2007-08-25,West Ham,Wigan,1,1,D,0,0,D,A Marriner,13,12,4,3,11,12,6,1,1,2,0,0,1.9,3.25,4.0,1.9,3.2,4.0
35,E0,2007-08-26,Man United,Tottenham,1,0,H,0,0,D,H Webb,14,10,5,3,15,7,4,4,2,3,0,0,1.5,4.0,6.0,1.5,4.0,6.0
36,E0,2007-08-26,Middlesbrough,Newcastle,2,2,D,1,1,D,M Dean,11,5,7,3,13,10,5,2,6,3,0,0,2.6,3.2,2.62,2.4,3.2,2.75
