,Div,B365H,B365D,B365A,VCH,VCD,VCA
0,E0,4.0,3.25,1.9,3.5,3.2,2.0
1,E0,2.5,3.2,2.75,2.3,3.25,2.9
2,E0,2.8,3.25,2.4,2.7,3.25,2.4
3,E0,1.66,3.4,5.5,1.7,3.4,5.0
4,E0,2.37,3.25,2.87,2.5,3.25,2.65
5,E0,3.4,3.25,2.1,3.0,3.2,2.25
6,E0,2.0,3.2,3.75,2.0,3.25,3.6
7,E0,1.33,4.5,10.0,1.3,4.5,9.5
8,E0,1.2,6.0,13.0,1.15,6.0,17.0
9,E0,1.22,5.5,13.0,1.22,5.5,12.0
10,E0,1.8,3.4,4.33,1.73,3.4,4.5
11,E0,2.3,3.25,3.0,2.25,3.25,3.0
12,E0,2.2,3.25,3.2,2.25,3.25,3.0
13,E0,1.61,3.6,5.5,1.55,3.6,6.0
14,E0,5.5,3.6,1.61,5.5,3.5,1.6
15,E0,6.5,3.75,1.53,6.5,3.6,1.53
16,E0,2.3,3.25,3.0,2.35,3.2,2.9
17,E0,2.37,3.25,2.87,2.3,3.25,2.9
18,E0,2.1,3.25,3.4,2.1,3.2,3.4
19,E0,1.83,3.3,4.33,1.85,3.25,4.35
20,E0,1.83,3.3,4.33,1.8,3.3,4.35
21,E0,2.5,3.25,2.7,2.4,3.25,2.8
22,E0,1.44,4.0,7.5,1.4,4.0,8.5
23,E0,2.2,3.25,3.2,2.35,3.2,2.9
24,E0,3.1,3.2,2.25,3.1,3.25,2.2
25,E0,2.62,3.1,3.1,2.4,3.1,2.9
26,E0,4.5,3.25,1.83,4.35,3.2,1.85
27,E0,1.53,3.8,6.0,1.65,3.3,5.5
28,E0,1.8,3.4,4.5,1.75,3.2,5.0
29,E0,2.25,3.2,3.0,2.1,3.25,3.3
30,E0,1.28,5.0,10.0,1.28,5.0,9.5
31,E0,2.37,3.25,2.87,2.35,3.2,2.9
32,E0,2.1,3.2,3.5,2.0,3.2,3.8
33,E0,6.0,3.6,1.57,6.5,3.2,1.6
34,E0,1.9,3.25,4.0,1.9,3.2,4.0
35,E0,1.5,4.0,6.0,1.5,4.0,6.0
36,E0,2.6,3.2,2.62,2.4,3.2,2.75
37,E0,2.4,3.2,2.87,2.25,3.3,3.0
38,E0,3.1,3.2,2.25,3.2,3.25,2.1
39,E0,1.16,6.0,19.0,1.17,6.0,15.0
40,E0,1.16,6.0,19.0,1.2,6.0,12.0
41,E0,2.0,3.2,3.75,2.0,3.25,3.6
42,E0,1.72,3.5,4.75,1.7,3.4,5.0
43,E0,2.2,3.2,3.25,2.1,3.25,3.3
44,E0,1.5,3.75,7.0,1.55,3.5,6.0
45,E0,5.5,3.6,1.61,5.0,3.5,1.65
46,E0,2.2,3.2,3.25,2.1,3.25,3.3
47,E0,2.37,3.25,3.0,2.35,3.2,2.9
48,E0,1.36,4.33,10.0,1.4,3.8,9.0
49,E0,4.5,3.5,1.8,4.5,3.4,1.75
50,E0,5.0,3.5,1.72,5.0,3.5,1.65
51,E0,2.25,3.25,3.2,2.25,3.25,3.0
52,E0,2.8,3.2,2.5,2.8,3.0,2.5
53,E0,2.0,3.4,3.75,1.9,3.25,4.0
54,E0,2.1,3.25,3.6,2.0,3.3,3.5
55,E0,2.37,3.25,3.0,2.2,3.2,3.1
56,E0,4.33,3.25,1.9,4.5,3.3,1.8
57,E0,1.14,7.0,23.0,1.18,6.0,15.0
58,E0,2.5,3.25,2.8,2.4,3.25,2.75
59,E0,1.22,5.25,17.0,1.22,5.5,12.0
60,E0,2.1,3.2,3.6,2.0,3.25,3.5
61,E0,2.1,3.2,3.6,2.0,3.25,3.6
62,E0,2.25,3.2,3.25,2.2,3.1,3.2
63,E0,1.9,3.3,4.2,1.9,3.25,4.0
64,E0,2.8,3.25,2.5,2.8,3.2,2.4
65,E0,2.1,3.25,4.0,2.0,3.25,3.5
66,E0,2.0,3.4,3.75,2.0,3.25,3.6
67,E0,6.5,4.0,1.53,7.0,3.6,1.5
68,E0,1.3,5.0,12.0,1.33,4.5,9.5
69,E0,2.7,3.25,2.62,2.6,3.2,2.6
